,make,year,engine_fuel_type,engine_hp,transmission_type,driven_wheels,number_of_doors,vehicle_size,vehicle_style,msrp,new_model
3450,Dodge,2008,Regular Unleaded,210.0,Manual,Rear Wheel Drive,4,Compact,Extended Cab Pickup,20995.0,Dodge Dakota
3451,Dodge,2009,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Crew Cab Pickup,28630.0,Dodge Dakota
3452,Dodge,2009,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Crew Cab Pickup,31630.0,Dodge Dakota
3453,Dodge,2009,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Extended Cab Pickup,23710.0,Dodge Dakota
3454,Dodge,2009,Regular Unleaded,210.0,Manual,Rear Wheel Drive,4,Compact,Crew Cab Pickup,25260.0,Dodge Dakota
3455,Dodge,2009,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Crew Cab Pickup,29355.0,Dodge Dakota
3456,Dodge,2009,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Crew Cab Pickup,31045.0,Dodge Dakota
3459,Dodge,2009,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Extended Cab Pickup,27960.0,Dodge Dakota
3460,Dodge,2009,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Extended Cab Pickup,30155.0,Dodge Dakota
3461,Dodge,2009,Regular Unleaded,210.0,Manual,Four Wheel Drive,4,Compact,Crew Cab Pickup,28210.0,Dodge Dakota
3463,Dodge,2009,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Crew Cab Pickup,26405.0,Dodge Dakota
3464,Dodge,2009,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Extended Cab Pickup,29985.0,Dodge Dakota
3465,Dodge,2009,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Extended Cab Pickup,26810.0,Dodge Dakota
3466,Dodge,2009,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Extended Cab Pickup,27315.0,Dodge Dakota
3468,Dodge,2009,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Extended Cab Pickup,22560.0,Dodge Dakota
3469,Dodge,2010,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Crew Cab Pickup,26325.0,Dodge Dakota
3470,Dodge,2010,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Extended Cab Pickup,27880.0,Dodge Dakota
3471,Dodge,2010,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Crew Cab Pickup,25305.0,Dodge Dakota
3472,Dodge,2010,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Crew Cab Pickup,28255.0,Dodge Dakota
3473,Dodge,2010,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Extended Cab Pickup,23630.0,Dodge Dakota
3474,Dodge,2010,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Extended Cab Pickup,27005.0,Dodge Dakota
3476,Dodge,2010,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Crew Cab Pickup,29275.0,Dodge Dakota
3477,Dodge,2010,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Extended Cab Pickup,22755.0,Dodge Dakota
3478,Dodge,2010,Regular Unleaded,210.0,Automatic,Four Wheel Drive,4,Compact,Crew Cab Pickup,33180.0,Dodge Dakota
3481,Dodge,2010,Flex-Fuel,302.0,Automatic,Four Wheel Drive,4,Compact,Crew Cab Pickup,31365.0,Dodge Dakota
3483,Dodge,2010,Regular Unleaded,210.0,Automatic,Rear Wheel Drive,4,Compact,Crew Cab Pickup,30180.0,Dodge Dakota
3484,Dodge,2014,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,16495.0,Dodge Dart
3485,Dodge,2014,Regular Unleaded,184.0,Manual,Front Wheel Drive,4,Midsize,Sedan,18595.0,Dodge Dart
3486,Dodge,2014,Regular Unleaded,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,22995.0,Dodge Dart
3487,Dodge,2014,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,19995.0,Dodge Dart
3488,Dodge,2014,Regular Unleaded,184.0,Manual,Front Wheel Drive,4,Midsize,Sedan,20995.0,Dodge Dart
3489,Dodge,2015,Regular Unleaded,184.0,Manual,Front Wheel Drive,4,Midsize,Sedan,21645.0,Dodge Dart
3490,Dodge,2015,Regular Unleaded,184.0,Manual,Front Wheel Drive,4,Midsize,Sedan,19000.0,Dodge Dart
3491,Dodge,2015,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,20495.0,Dodge Dart
3492,Dodge,2015,Regular Unleaded,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,23795.0,Dodge Dart
3493,Dodge,2015,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,16495.0,Dodge Dart
3494,Dodge,2016,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,19495.0,Dodge Dart
3495,Dodge,2016,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,18995.0,Dodge Dart
3496,Dodge,2016,Regular Unleaded,184.0,Manual,Front Wheel Drive,4,Midsize,Sedan,19395.0,Dodge Dart
3497,Dodge,2016,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,17995.0,Dodge Dart
3498,Dodge,2016,Regular Unleaded,184.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,24395.0,Dodge Dart
3499,Dodge,2016,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,19595.0,Dodge Dart
3500,Dodge,2016,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,16995.0,Dodge Dart
3501,Dodge,2016,Regular Unleaded,160.0,Manual,Front Wheel Drive,4,Midsize,Sedan,21095.0,Dodge Dart
3502,Dodge,2016,Regular Unleaded,184.0,Manual,Front Wheel Drive,4,Midsize,Sedan,22095.0,Dodge Dart
3503,Dodge,2016,Regular Unleaded,184.0,Manual,Front Wheel Drive,4,Midsize,Sedan,20995.0,Dodge Dart
3504,Dodge,2016,Regular Unleaded,184.0,Manual,Front Wheel Drive,4,Midsize,Sedan,21595.0,Dodge Dart
3505,Rolls-Royce,2016,Premium Unleaded,563.0,Automatic,Rear Wheel Drive,2,Large,Convertible,75182.0,Rolls-Royce Dawn
3506,Dodge,1991,Regular Unleaded,152.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3507,Dodge,1991,Regular Unleaded,152.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3509,Dodge,1991,Regular Unleaded,100.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3510,Dodge,1991,Regular Unleaded,141.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3512,Dodge,1992,Regular Unleaded,224.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3513,Dodge,1992,Regular Unleaded,141.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3514,Dodge,1992,Regular Unleaded,100.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3516,Dodge,1993,Regular Unleaded,100.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3518,Dodge,1993,Regular Unleaded,141.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3519,Dodge,1993,Regular Unleaded,224.0,Manual,Front Wheel Drive,2,Compact,2Dr Hatchback,2000.0,Dodge Daytona
3520,Aston Martin,2003,Premium Unleaded,420.0,Automatic,Rear Wheel Drive,2,Compact,Coupe,75182.0,Aston Martin Db7
3521,Aston Martin,2003,Premium Unleaded,420.0,Manual,Rear Wheel Drive,2,Compact,Convertible,75182.0,Aston Martin Db7
3522,Aston Martin,2003,Premium Unleaded,435.0,Manual,Rear Wheel Drive,2,Compact,Coupe,75182.0,Aston Martin Db7
3523,Aston Martin,2003,Premium Unleaded,420.0,Manual,Rear Wheel Drive,2,Compact,Coupe,75182.0,Aston Martin Db7
3524,Aston Martin,2016,Premium Unleaded,540.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Db9 Gt
3525,Aston Martin,2016,Premium Unleaded,540.0,Automatic,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Db9 Gt
3526,Aston Martin,2016,Premium Unleaded,540.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Db9 Gt
3527,Aston Martin,2013,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Db9
3528,Aston Martin,2013,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Db9
3529,Aston Martin,2014,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Db9
3530,Aston Martin,2014,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Db9
3531,Aston Martin,2015,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Db9
3532,Aston Martin,2015,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Db9
3533,Aston Martin,2015,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Db9
3534,Aston Martin,2015,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Db9
3535,Aston Martin,2010,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Dbs
3536,Aston Martin,2010,Premium Unleaded,510.0,Manual,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Dbs
3537,Aston Martin,2010,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Dbs
3538,Aston Martin,2010,Premium Unleaded,510.0,Manual,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Dbs
3539,Aston Martin,2011,Premium Unleaded,510.0,Manual,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Dbs
3540,Aston Martin,2011,Premium Unleaded,510.0,Manual,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Dbs
3541,Aston Martin,2011,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Dbs
3542,Aston Martin,2011,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Dbs
3543,Aston Martin,2012,Premium Unleaded,510.0,Manual,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Dbs
3544,Aston Martin,2012,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Dbs
3545,Aston Martin,2012,Premium Unleaded,510.0,Manual,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Dbs
3546,Aston Martin,2012,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Dbs
3547,Aston Martin,2012,Premium Unleaded,510.0,Manual,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Dbs
3548,Aston Martin,2012,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Dbs
3549,Aston Martin,2012,Premium Unleaded,510.0,Automatic,Rear Wheel Drive,2,Midsize,Convertible,75182.0,Aston Martin Dbs
3550,Aston Martin,2012,Premium Unleaded,510.0,Manual,Rear Wheel Drive,2,Midsize,Coupe,75182.0,Aston Martin Dbs
3551,Land Rover,1994,Regular Unleaded,182.0,Manual,Four Wheel Drive,2,Compact,2Dr Suv,27736.0,Land Rover Defender
3552,Land Rover,1995,Regular Unleaded,182.0,Manual,Four Wheel Drive,2,Compact,2Dr Suv,30709.0,Land Rover Defender
3553,Land Rover,1997,Regular Unleaded,182.0,Automatic,Four Wheel Drive,2,Compact,Convertible Suv,36931.0,Land Rover Defender
3554,Land Rover,1997,Regular Unleaded,182.0,Automatic,Four Wheel Drive,2,Compact,2Dr Suv,39669.0,Land Rover Defender
3555,Cadillac,2003,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,49150.0,Cadillac Deville
3556,Cadillac,2003,Regular Unleaded,300.0,Automatic,Front Wheel Drive,4,Large,Sedan,49150.0,Cadillac Deville
3557,Cadillac,2003,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,44400.0,Cadillac Deville
3558,Cadillac,2004,Regular Unleaded,300.0,Automatic,Front Wheel Drive,4,Large,Sedan,50750.0,Cadillac Deville
3559,Cadillac,2004,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,50750.0,Cadillac Deville
3560,Cadillac,2004,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,45600.0,Cadillac Deville
3561,Cadillac,2005,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,51600.0,Cadillac Deville
3562,Cadillac,2005,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,46430.0,Cadillac Deville
3563,Cadillac,2005,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,46045.0,Cadillac Deville
3564,Cadillac,2005,Regular Unleaded,290.0,Automatic,Front Wheel Drive,4,Large,Sedan,51600.0,Cadillac Deville
3565,Lamborghini,2001,Premium Unleaded,550.0,Manual,All Wheel Drive,2,Compact,Coupe,75182.0,Lamborghini Diablo
3566,Mitsubishi,2002,Premium Unleaded,205.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,28447.0,Mitsubishi Diamante
3567,Mitsubishi,2002,Premium Unleaded,210.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,26997.0,Mitsubishi Diamante
3568,Mitsubishi,2002,Premium Unleaded,205.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,25687.0,Mitsubishi Diamante
3569,Mitsubishi,2003,Premium Unleaded,205.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,25997.0,Mitsubishi Diamante
3570,Mitsubishi,2003,Premium Unleaded,205.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,28447.0,Mitsubishi Diamante
3571,Mitsubishi,2003,Premium Unleaded,210.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,27097.0,Mitsubishi Diamante
3572,Mitsubishi,2004,Premium Unleaded,205.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,24999.0,Mitsubishi Diamante
3573,Mitsubishi,2004,Premium Unleaded,210.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,26819.0,Mitsubishi Diamante
3574,Mitsubishi,2004,Premium Unleaded,205.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,27619.0,Mitsubishi Diamante
3575,Land Rover,2000,Regular Unleaded,188.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,2561.0,Land Rover Discovery Series Ii
3576,Land Rover,2001,Premium Unleaded,188.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,36350.0,Land Rover Discovery Series Ii
3577,Land Rover,2001,Premium Unleaded,188.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,33350.0,Land Rover Discovery Series Ii
3578,Land Rover,2001,Premium Unleaded,188.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,34350.0,Land Rover Discovery Series Ii
3579,Land Rover,2002,Premium Unleaded,188.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,33350.0,Land Rover Discovery Series Ii
3580,Land Rover,2002,Premium Unleaded,188.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,37150.0,Land Rover Discovery Series Ii
3581,Land Rover,2015,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,37070.0,Land Rover Discovery Sport
3582,Land Rover,2015,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,45570.0,Land Rover Discovery Sport
3583,Land Rover,2015,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,41570.0,Land Rover Discovery Sport
3584,Land Rover,2016,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,41955.0,Land Rover Discovery Sport
3585,Land Rover,2016,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,45955.0,Land Rover Discovery Sport
3586,Land Rover,2016,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,37455.0,Land Rover Discovery Sport
3587,Land Rover,2017,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,46595.0,Land Rover Discovery Sport
3588,Land Rover,2017,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,42195.0,Land Rover Discovery Sport
3589,Land Rover,2017,Premium Unleaded,240.0,Automatic,All Wheel Drive,4,Midsize,4Dr Suv,37695.0,Land Rover Discovery Sport
3590,Land Rover,2003,Premium Unleaded,217.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,34350.0,Land Rover Discovery
3591,Land Rover,2003,Premium Unleaded,217.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,40350.0,Land Rover Discovery
3592,Land Rover,2003,Premium Unleaded,217.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,38350.0,Land Rover Discovery
3593,Land Rover,2004,Premium Unleaded,217.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,38685.0,Land Rover Discovery
3594,Land Rover,2004,Premium Unleaded,217.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,40685.0,Land Rover Discovery
3595,Land Rover,2004,Premium Unleaded,217.0,Automatic,Four Wheel Drive,4,Midsize,4Dr Suv,34330.0,Land Rover Discovery
3596,Cadillac,2009,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,51460.0,Cadillac Dts
3597,Cadillac,2009,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,46280.0,Cadillac Dts
3598,Cadillac,2009,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,49730.0,Cadillac Dts
3599,Cadillac,2009,Regular Unleaded,292.0,Automatic,Front Wheel Drive,4,Large,Sedan,54230.0,Cadillac Dts
3600,Cadillac,2009,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,49230.0,Cadillac Dts
3601,Cadillac,2009,Regular Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,47625.0,Cadillac Dts
3602,Cadillac,2010,Premium Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,46280.0,Cadillac Dts
3603,Cadillac,2010,Premium Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,51525.0,Cadillac Dts
3604,Cadillac,2010,Premium Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,54425.0,Cadillac Dts
3605,Cadillac,2010,Premium Unleaded,292.0,Automatic,Front Wheel Drive,4,Large,Sedan,59475.0,Cadillac Dts
3606,Cadillac,2011,Premium Unleaded,292.0,Automatic,Front Wheel Drive,4,Large,Sedan,59875.0,Cadillac Dts
3607,Cadillac,2011,Premium Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,51925.0,Cadillac Dts
3608,Cadillac,2011,Premium Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,54825.0,Cadillac Dts
3609,Cadillac,2011,Premium Unleaded,275.0,Automatic,Front Wheel Drive,4,Large,Sedan,46680.0,Cadillac Dts
3610,Dodge,2015,Regular Unleaded,290.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,36895.0,Dodge Durango
3611,Dodge,2015,Premium Unleaded,360.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,42495.0,Dodge Durango
3612,Dodge,2015,Regular Unleaded,290.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,39495.0,Dodge Durango
3613,Dodge,2015,Regular Unleaded,290.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,40995.0,Dodge Durango
3614,Dodge,2015,Regular Unleaded,290.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,33095.0,Dodge Durango
3615,Dodge,2015,Regular Unleaded,290.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,43595.0,Dodge Durango
3616,Dodge,2015,Premium Unleaded,360.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,39995.0,Dodge Durango
3617,Dodge,2015,Regular Unleaded,290.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,30495.0,Dodge Durango
3618,Dodge,2016,Premium Unleaded,360.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,41995.0,Dodge Durango
3619,Dodge,2016,Regular Unleaded,293.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,39595.0,Dodge Durango
3620,Dodge,2016,Regular Unleaded,293.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,30495.0,Dodge Durango
3621,Dodge,2016,Regular Unleaded,295.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,43895.0,Dodge Durango
3622,Dodge,2016,Regular Unleaded,293.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,33095.0,Dodge Durango
3623,Dodge,2016,Premium Unleaded,360.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,44595.0,Dodge Durango
3624,Dodge,2016,Regular Unleaded,295.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,42390.0,Dodge Durango
3625,Dodge,2016,Regular Unleaded,293.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,36995.0,Dodge Durango
3626,Dodge,2016,Regular Unleaded,295.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,41295.0,Dodge Durango
3627,Dodge,2016,Regular Unleaded,295.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,44990.0,Dodge Durango
3628,Dodge,2017,Regular Unleaded,295.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,37495.0,Dodge Durango
3629,Dodge,2017,Regular Unleaded,295.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,42490.0,Dodge Durango
3630,Dodge,2017,Regular Unleaded,295.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,40095.0,Dodge Durango
3631,Dodge,2017,Premium Unleaded,360.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,42095.0,Dodge Durango
3632,Dodge,2017,Regular Unleaded,295.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,29995.0,Dodge Durango
3633,Dodge,2017,Premium Unleaded,360.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,44695.0,Dodge Durango
3634,Dodge,2017,Regular Unleaded,295.0,Automatic,Rear Wheel Drive,4,Large,4Dr Suv,41395.0,Dodge Durango
3635,Dodge,2017,Regular Unleaded,295.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,43995.0,Dodge Durango
3636,Dodge,2017,Regular Unleaded,295.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,45090.0,Dodge Durango
3637,Dodge,2017,Regular Unleaded,295.0,Automatic,All Wheel Drive,4,Large,4Dr Suv,32595.0,Dodge Durango
3638,Dodge,1991,Regular Unleaded,100.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,2000.0,Dodge Dynasty
3639,Dodge,1991,Regular Unleaded,141.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,2000.0,Dodge Dynasty
3640,Dodge,1992,Regular Unleaded,100.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,2000.0,Dodge Dynasty
3641,Dodge,1992,Regular Unleaded,141.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,2000.0,Dodge Dynasty
3642,Dodge,1993,Regular Unleaded,141.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,2000.0,Dodge Dynasty
3643,Dodge,1993,Regular Unleaded,100.0,Automatic,Front Wheel Drive,4,Midsize,Sedan,2000.0,Dodge Dynasty
3644,Ford,1996,Regular Unleaded,199.0,Automatic,Rear Wheel Drive,3,Midsize,Passenger Van,2000.0,Ford E-150
3645,Ford,1996,Regular Unleaded,145.0,Automatic,Rear Wheel Drive,3,Midsize,Cargo Van,2000.0,Ford E-150
3646,Ford,1996,Regular Unleaded,145.0,Automatic,Rear Wheel Drive,3,Midsize,Passenger Van,2000.0,Ford E-150
3649,Ford,1997,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Midsize,Passenger Van,2000.0,Ford E-150
3650,Ford,1997,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Midsize,Passenger Van,2123.0,Ford E-150
3651,Ford,1997,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Midsize,Passenger Van,2074.0,Ford E-150
3652,Ford,1997,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Midsize,Cargo Van,2000.0,Ford E-150
3653,Ford,1998,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Midsize,Passenger Van,2301.0,Ford E-150
3654,Ford,1998,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Midsize,Cargo Van,2079.0,Ford E-150
3655,Ford,1998,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Midsize,Passenger Van,2256.0,Ford E-150
3656,Ford,1998,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Midsize,Passenger Van,2169.0,Ford E-150
3657,Ford,1996,Regular Unleaded,199.0,Automatic,Rear Wheel Drive,3,Large,Cargo Van,2000.0,Ford E-250
3658,Ford,1996,Regular Unleaded,145.0,Automatic,Rear Wheel Drive,3,Midsize,Cargo Van,2000.0,Ford E-250
3661,Ford,1997,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Large,Cargo Van,2000.0,Ford E-250
3663,Ford,1997,Regular Unleaded,200.0,Automatic,Rear Wheel Drive,3,Midsize,Cargo Van,2000.0,Ford E-250
3665,Ford,1998,Regular Unleaded,235.0,Automatic,Rear Wheel Drive,3,Midsize,Cargo Van,2080.0,Ford E-250
3666,Ford,1998,Regular Unleaded,235.0,Automatic,Rear Wheel Drive,3,Large,Cargo Van,2107.0,Ford E-250
3667,Mercedes-Benz,2015,Premium Unleaded,329.0,Automatic,All Wheel Drive,2,Midsize,Coupe,55850.0,Mercedes-Benz E-Class
3668,Mercedes-Benz,2015,Premium Unleaded,550.0,Automatic,All Wheel Drive,4,Midsize,Sedan,75182.0,Mercedes-Benz E-Class
3669,Mercedes-Benz,2015,Premium Unleaded,329.0,Automatic,Rear Wheel Drive,2,Midsize,Coupe,53350.0,Mercedes-Benz E-Class
3670,Mercedes-Benz,2015,Premium Unleaded,302.0,Automatic,Rear Wheel Drive,4,Midsize,Sedan,57100.0,Mercedes-Benz E-Class
3671,Mercedes-Benz,2015,Premium Unleaded,302.0,Automatic,All Wheel Drive,4,Midsize,Sedan,54800.0,Mercedes-Benz E-Class
3672,Mercedes-Benz,2015,Premium Unleaded,302.0,Automatic,All Wheel Drive,4,Midsize,Wagon,59000.0,Mercedes-Benz E-Class
3673,Mercedes-Benz,2015,Diesel,195.0,Automatic,All Wheel Drive,4,Midsize,Sedan,54300.0,Mercedes-Benz E-Class
